X,V,A,dA,thrust1,thrust2,tank2,gravity,air_drag,
8608.182034,78.684099,0.118244,0.000515,20.000000,0.000000,100.000000,-9.772196,-10.109560,
8686.984895,78.802861,0.118762,0.000519,20.000000,0.000000,100.000000,-9.771940,-10.109297,
8765.907042,78.922146,0.119285,0.000522,20.000000,0.000000,100.000000,-9.771684,-10.109031,
8844.948999,79.041958,0.119811,0.000526,20.000000,0.000000,100.000000,-9.771427,-10.108761,
8924.111298,79.162299,0.120341,0.000530,20.000000,0.000000,100.000000,-9.771170,-10.108488,
9003.394472,79.283174,0.120875,0.000534,20.000000,0.000000,100.000000,-9.770913,-10.108212,
9082.799059,79.404587,0.121413,0.000538,20.000000,0.000000,100.000000,-9.770655,-10.107932,
9162.325602,79.526542,0.121955,0.000542,20.000000,0.000000,100.000000,-9.770397,-10.107648,
9241.974645,79.649043,0.122501,0.000546,20.000000,0.000000,100.000000,-9.770138,-10.107361,
9321.746738,79.772093,0.123050,0.000550,20.000000,0.000000,100.000000,-9.769879,-10.107070,
9401.642436,79.895698,0.123604,0.000554,20.000000,0.000000,100.000000,-9.769620,-10.106776,
9481.662296,80.019860,0.124162,0.000558,20.000000,0.000000,100.000000,-9.769360,-10.106478,
9561.806880,80.144584,0.124724,0.000562,20.000000,0.000000,100.000000,-9.769100,-10.106176,
9642.076755,80.269875,0.125291,0.000566,20.000000,0.000000,100.000000,-9.768839,-10.105870,
9722.472491,80.395736,0.125861,0.000571,20.000000,0.000000,100.000000,-9.768578,-10.105561,
9802.994664,80.522172,0.126436,0.000575,20.000000,0.000000,100.000000,-9.768317,-10.105247,
9883.643851,80.649187,0.127015,0.000579,20.000000,0.000000,100.000000,-9.768055,-10.104930,
9964.420636,80.776786,0.127598,0.000583,20.000000,0.000000,100.000000,-9.767793,-10.104608,
10045.325609,80.904972,0.128186,0.000588,20.000000,0.000000,100.000000,-9.767530,-10.104283,
10126.359359,81.033751,0.128779,0.000592,20.000000,0.000000,100.000000,-9.767267,-10.103954,
10207.522485,81.163126,0.129375,0.000597,20.000000,0.000000,100.000000,-9.767004,-10.103620,
10288.815588,81.293103,0.129977,0.000601,20.000000,0.000000,100.000000,-9.766740,-10.103283,
10370.239274,81.423686,0.130583,0.000606,20.000000,0.000000,100.000000,-9.766476,-10.102941,
10451.794154,81.554879,0.131193,0.000611,20.000000,0.000000,100.000000,-9.766212,-10.102595,
10533.480841,81.686688,0.131809,0.000615,20.000000,0.000000,100.000000,-9.765946,-10.102245,
10615.299958,81.819117,0.132429,0.000620,20.000000,0.000000,100.000000,-9.765681,-10.101890,
